Article Title,Link,Summary
Stock Market Today: S&P500 snaps record run as Intel brings pain for tech,https://www.investing.com/news/stock-market-news/stock-market-today-sp500-snaps-record-run-as-intel-brings-pain-for-tech-3283885,
US reviewing Venezuelan sanctions policy in wake of court decision - State Dept,https://www.investing.com/news/commodities-news/us-reviewing-venezuelan-sanctions-policy-in-wake-of-court-decision--state-dept-3284974,
"This week in earnings: Netflix jumps on strong subscriptions; Tesla, Humana sink",https://www.investing.com/news/stock-market-news/this-week-in-earnings-netflix-jumps-on-strong-subscriptions-tesla-humana-sink-3283935,
5 AI Stocks Set to Report Explosive Profit and Sales Growth,https://www.investing.com/analysis/5-ai-stocks-set-to-deliver-explosive-profit-and-sales-growth-200645519,
S&P 500 Rally Starting to Look Overstretched: How to Play a Possible Correction,https://www.investing.com/analysis/sp-500-rally-starting-to-look-overstretched-how-to-play-a-possible-correction-200645490,
Intel Nosedives 10%+ Despite EPS Beat: Tipping Point or Buying Opportunity?,https://www.investing.com/analysis/intel-nosedives-10-despite-eps-beat-tipping-point-or-buying-opportunity-200645526,
Switzerland's Holcim plans separation of US business - WSJ,https://www.investing.com/news/stock-market-news/switzerlands-holcim-plans-separation-of-us-business--wsj-3284999,"(Reuters) -Swiss building materials giant Holcim (SIX:HOLN) is nearing a deal to separate its North America business that could be worth more than $30 billion, the Wall Street..."
Musk's X aims to hire 100 content moderators in Austin by end of year,https://www.investing.com/news/stock-market-news/musks-x-aims-to-hire-100-content-moderators-in-austin-by-end-of-year-3284998,"By Sheila Dang (Reuters) - Social media company X is in the process of hiring 100 content moderators for a new office in Austin, Texas that will focus on fighting child abuse..."
United Airlines resumes Boeing 737 MAX 9 flights after inspections,https://www.investing.com/news/stock-market-news/united-airlines-resumes-boeing-737-max-9-flights-after-inspections-3284995,By David Shepardson (Reuters) - United Airlines said it had resumed use of its Boeing (NYSE:BA) 737 MAX 9 jets Saturday for passenger flights after U.S. regulators gave the green...
Alaska Airlines resumes flying Boeing 737 MAX 9 after inspections,https://www.investing.com/news/stock-market-news/alaska-airlines-completes-inspections-on-first-group-of-boeing-737-max-9-aircraft-3284525,"(Reuters) -Alaska Airlines on Friday said it has completed inspections on the first group of its Boeing (NYSE:BA) 737 MAX 9 aircraft, clearing the carrier to put the MAX 9 back in..."
"UK's John Lewis considers 11,000 job cuts, Guardian reports",https://www.investing.com/news/stock-market-news/uks-john-lewis-considers-cutting-11000-jobs-the-guardian-3284831,"(Reuters) -John Lewis Partnership, the owner of John Lewis and Waitrose, is considering cutting up to 11,000 staff jobs in the next five years, the Guardian reported on Saturday...."
US to announce billions in subsidies for advanced chips- WSJ,https://www.investing.com/news/stock-market-news/us-to-announce-billions-in-subsidies-for-advanced-chips-wsj-3284814,"(Reuters) -The Biden administration is expected to award billions of dollars in subsidies to top semiconductor companies including Intel (NASDAQ:INTC), and Taiwan Semiconductor..."
"World's largest cruise ship sets sail, bringing concerns about methane emissions",https://www.investing.com/news/stock-market-news/worlds-largest-cruise-ship-sets-sail-bringing-concerns-about-methane-emissions-3284815,"By Doyinsola Oladipo NEW YORK (Reuters) - The world's largest cruise ship is set for its maiden voyage on Saturday, but environmental groups are concerned that the liquefied..."
India stocks lower at close of trade; Nifty 50 down 0.47%,https://www.investing.com/news/stock-market-news/india-stocks-lower-at-close-of-trade-nifty-50-down-047-3284800,"Investing.com â€“ India stocks were lower after the close on Saturday, as losses in the Technology, IT and Fast Moving Consumer Goods sectors led shares lower.
At the close in NSE,..."
Microsoft Teams returns to normalcy after outage,https://www.investing.com/news/stock-market-news/microsoft-teams-down-for-thousands-of-users--downdetector-3284510,"(Reuters) -Microsoft's Teams services were restored on Saturday after a disruption blocked access to the messaging platform. ""After extended monitoring and mitigation efforts,..."
"Vince McMahon resigns from TKO, WWE over sex assault lawsuit",https://www.investing.com/news/stock-market-news/vince-mcmahon-resigns-from-tko-wwe-over-sex-assault-lawsuit-3284684,"(Reuters) - Vince McMahon resigned from wrestling giant TKO Group and the subsidiary WWE that he founded, over a lawsuit accusing him of sexual assault and trafficking, which he..."
U.S. scraps Delta-Aeromexico codeshare after Mexico airport changes,https://www.investing.com/news/stock-market-news/us-scraps-deltaaeromexico-tieup-citing-mexico-interference-at-capital-airport-3284677,By Kylie Madry MEXICO CITY (Reuters) -The U.S. government said on Friday it did not plan to renew the antitrust immunity that Delta Air Lines (NYSE:DAL) and Aeromexico currently...
MacKenzie Scott trims Amazon Stake by $10 billion- Bloomberg News,https://www.investing.com/news/stock-market-news/mackenzie-scott-trims-amazon-stake-by-10-billion-bloomberg-news-3284680,"(Reuters) - MacKenzie Scott, ex-wife of Amazon.com (NASDAQ:AMZN) billionaire Chief Executive Jeff Bezos, sold 65.3 million shares in the ecommerce giant last year, Bloomberg News..."
"Boeing 737 MAX lands in China, ending import freeze on order backlog",https://www.investing.com/news/stock-market-news/boeing-737-max-lands-in-china-ending-import-freeze-on-order-backlog-3284676,"By Lisa Barrington (Reuters) - The first Boeing (NYSE:BA) 737 MAX jet delivered to a Chinese airline since March 2019 landed in China on Saturday, ending an almost five-year..."
"US advances fighter jet sale to Turkey, Greece; Congress likely to approve",https://www.investing.com/news/stock-market-news/us-advances-fighter-jet-sale-to-turkey-greece-congress-likely-to-approve-3284671,By Humeyra Pamuk WASHINGTON (Reuters) -U.S. President Joe Biden's administration on Friday formally informed Congress of its intention to proceed with the $23 billion sale of F-16...
Earnings call: Booz Allen Hamilton Tops FY 2024 Guidance Amid Growth,https://www.investing.com/news/stock-market-news/earnings-call-booz-allen-hamilton-tops-fy-2024-guidance-amid-growth-93CH-3284672,"Booz Allen Hamilton (NYSE: NYSE:BAH) delivered robust financial results in the third quarter of fiscal year 2024, surpassing its own guidance with significant revenue and net..."
Earnings call: Glacier Bancorp reports strong Q4 amid acquisitions,https://www.investing.com/news/stock-market-news/earnings-call-glacier-bancorp-reports-strong-q4-amid-acquisitions-93CH-3284668,"Glacier Bancorp (NYSE:GBCI) delivered robust fourth-quarter financial results, showcasing a steady rise in earnings per share and net income. The bank's earnings per share..."
"Earnings call: Federated Hermes reports record AUM, plans expansion",https://www.investing.com/news/stock-market-news/earnings-call-federated-hermes-reports-record-aum-plans-expansion-93CH-3284667,"Federated Hermes, Inc. (NYSE: NYSE:FHI) showcased robust growth in its latest Q4 2023 earnings call, reporting record assets under management (AUM) of $758 billion. The company..."
Earnings call: First Financial Bancorp reports solid Q4 and full-year results,https://www.investing.com/news/stock-market-news/earnings-call-first-financial-bancorp-reports-solid-q4-and-fullyear-results-93CH-3284666,"First Financial Bancorp (NASDAQ:FFBC) has reported its earnings for the fourth quarter and full-year 2023, highlighting a year of strong financial performance. The company saw an..."
"Hometown Food Company, maker of Pillsbury baking products, up for sale-sources",https://www.investing.com/news/stock-market-news/hometown-food-company-maker-of-pillsbury-baking-products-up-for-salesources-3284275,By Abigail Summerville (Reuters) - The private equity firm that owns Hometown Food Company is exploring a sale of the maker of Pillsbury's shelf-stable baking products and Birch...
Spotify says Apple's plan to comply with EU regulation 'farce',https://www.investing.com/news/stock-market-news/spotify-says-apples-plan-to-comply-with-eu-regulation-farce-3284654,"(Reuters) - Spotify (NYSE:SPOT) said on Friday that Apple (NASDAQ:AAPL)'s new plan to comply with the European Union's Digital Markets Act (DMA) is ""a complete and total farce.""..."
Earnings call: Eastern Bankshares reports strategic gains and merger plans,https://www.investing.com/news/stock-market-news/earnings-call-eastern-bankshares-reports-strategic-gains-and-merger-plans-93CH-3284665,"Eastern Bankshares Inc (NASDAQ:EBC). (EBSB) disclosed its fourth quarter 2023 financial results, highlighting a strategic year marked by the restructuring of its portfolio, the..."
"Earnings call: Byline Bancorp reports strong annual performance, optimistic outlook",https://www.investing.com/news/stock-market-news/earnings-call-byline-bancorp-reports-strong-annual-performance-optimistic-outlook-93CH-3284664,"Byline Bancorp (NYSE:BY), a growing player in the banking sector, has reported robust financial results for the fourth quarter and full year 2023. The company announced a net..."
Earnings call: Customers Bancorp reports strong Q4 and FY 2023 results,https://www.investing.com/news/stock-market-news/earnings-call-customers-bancorp-reports-strong-q4-and-fy-2023-results-93CH-3284663,"Customers Bancorp (NYSE:CUBI) has delivered a robust financial performance in the fourth quarter and full year of 2023, with core earnings per share (EPS) for Q4 reaching $1.90 and..."
"Earnings call: WSFS posts strong Q4 results, anticipates solid 2024",https://www.investing.com/news/stock-market-news/earnings-call-wsfs-posts-strong-q4-results-anticipates-solid-2024-93CH-3284662,"WSFS Financial Corporation (NASDAQ: WSFS) has delivered a robust performance in the fourth quarter of 2023, with the company's full-year core earnings per share at $4.55 and a core..."
Earnings call: Gentex reports solid growth and optimistic outlook for 2024,https://www.investing.com/news/stock-market-news/earnings-call-gentex-reports-solid-growth-and-optimistic-outlook-for-2024-93CH-3284660,"Gentex Corporation (NASDAQ:GNTX) has reported a strong financial performance for the fourth quarter and full year of 2023, with a notable increase in net sales and gross margins...."
Earnings call: Weyerhaeuser reports steady performance,https://www.investing.com/news/stock-market-news/earnings-call-weyerhaeuser-reports-steady-performance-93CH-3284659,"Weyerhaeuser Co. (NYSE:WY) has announced its financial results for the full year and fourth quarter of 2023, with net sales reaching $7.7 billion for the year and $1.8 billion..."
"Earnings call: First Hawaiian, Inc. Q4 2023 results show resilience",https://www.investing.com/news/stock-market-news/earnings-call-first-hawaiian-inc-q4-2023-results-show-resilience-93CH-3284658,"In the Q4 2023 earnings conference call, First Hawaiian, Inc. (NASDAQ:FHB) highlighted a robust quarter with solid customer deposit growth and strong credit quality amidst a..."
Earnings call: Western Alliance anticipates growth and stability in 2024,https://www.investing.com/news/stock-market-news/earnings-call-western-alliance-anticipates-growth-and-stability-in-2024-93CH-3284657,"Western Alliance Bancorporation (NYSE:WAL) has delivered a robust financial report for the fourth quarter and the entire year of 2023, with a strong outlook for 2024.
The company..."
"Eying China, US proposes 'know your customer' cloud computing requirements",https://www.investing.com/news/stock-market-news/exclusiveus-to-propose-know-your-customer-requirements-for-cloud-computing-companies-3284528,By David Shepardson WASHINGTON (Reuters) -The Biden administration is proposing requiring U.S. cloud companies to determine whether foreign entities are accessing U.S. data...
Earnings call: First Citizens Bancshares Reports Solid Q4 Results Amid Challenges,https://www.investing.com/news/stock-market-news/earnings-call-first-citizens-bancshares-reports-solid-q4-results-amid-challenges-93CH-3284653,"First Citizens Bancshares (FCNCA) discussed their fourth quarter 2023 financial results, highlighting a strong net interest margin, an adjusted efficiency ratio of 48%, and growth..."
Earnings call: Dime Community Bancshares reports solid growth in 2023,https://www.investing.com/news/stock-market-news/earnings-call-dime-community-bancshares-reports-solid-growth-in-2023-93CH-3284652,"Dime Community Bancshares (NASDAQ:DCOM) reported significant year-over-year growth in deposits and loans during its recent earnings call, highlighting a successful year with..."
Earnings call: BankUnited Financial Reports Growth and Optimism for 2024,https://www.investing.com/news/stock-market-news/earnings-call-bankunited-financial-reports-growth-and-optimism-for-2024-93CH-3284651,"BankUnited Financial (ticker: NYSE:BKU) has disclosed its fourth-quarter and full-year 2023 earnings, showcasing growth in deposits and an expanded net interest margin (NIM) of..."
Earnings call: American Express posts record revenues and robust growth in Q4,https://www.investing.com/news/stock-market-news/earnings-call-american-express-posts-record-revenues-and-robust-growth-in-q4-93CH-3284650,"American Express (ticker: NYSE:AXP) has reported a robust financial performance for the fourth quarter of 2023, with record revenues and a significant increase in earnings per..."
"Earnings call: Flushing Financial reports Q4 results, outlook for 2024",https://www.investing.com/news/stock-market-news/earnings-call-flushing-financial-reports-q4-results-outlook-for-2024-93CH-3284649,"Flushing Financial Corporation (NASDAQ:FFIC) announced its fourth-quarter results for 2023, posting a GAAP EPS of $0.27 and a core EPS of $0.25. The company demonstrated a..."
Earnings call: SouthState Corporation Q4 Performance and 2024 Outlook,https://www.investing.com/news/stock-market-news/earnings-call-southstate-corporation-q4-performance-and-2024-outlook-93CH-3284648,"SouthState Corporation (SSB) reported a solid fourth quarter in 2023 with steady growth in loans and customer deposits, despite a slight decrease in net interest margin (NIM). The..."
Stock Market Today: S&P500 snaps record run as Intel brings pain for...,https://www.investing.com/news/stock-market-news/stock-market-today-sp500-snaps-record-run-as-intel-brings-pain-for-tech-3283885,
US reviewing Venezuelan sanctions policy in wake of court decision -...,https://www.investing.com/news/commodities-news/us-reviewing-venezuelan-sanctions-policy-in-wake-of-court-decision--state-dept-3284974,
"This week in earnings: Netflix jumps on strong subscriptions; Tesla,...",https://www.investing.com/news/stock-market-news/this-week-in-earnings-netflix-jumps-on-strong-subscriptions-tesla-humana-sink-3283935,
US to announce billions in subsidies for advanced chips- WSJ,https://www.investing.com/news/stock-market-news/us-to-announce-billions-in-subsidies-for-advanced-chips-wsj-3284814,
5 AI Stocks Set to Report Explosive Profit and Sales Growth,https://www.investing.com/analysis/5-ai-stocks-set-to-deliver-explosive-profit-and-sales-growth-200645519,
S&P 500 Rally Starting to Look Overstretched: How to Play a Possible...,https://www.investing.com/analysis/sp-500-rally-starting-to-look-overstretched-how-to-play-a-possible-correction-200645490,
Intel Nosedives 10%+ Despite EPS Beat: Tipping Point or Buying...,https://www.investing.com/analysis/intel-nosedives-10-despite-eps-beat-tipping-point-or-buying-opportunity-200645526,
Gold Price Correction Deepens: When Should Dip-Buyers Start...,https://www.investing.com/analysis/gold-price-correction-deepens-when-should-dipbuyers-start-accumulating-200645484,
